# Accelerometer Data File
# Started @Tue Aug 01 23:16:22 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.059 0.192 9.763 20
-0.088 0.235 9.761 21
-0.121 0.321 9.77 20
-0.114 0.285 9.765 20
-0.102 0.271 9.756 20
-0.126 0.328 9.753 20
-0.14 0.316 9.753 20
-0.138 0.273 9.768 20
-0.095 0.295 9.756 21
-0.049 0.295 9.753 20
-0.014 0.221 9.751 20
0.021 0.213 9.749 20
0.036 0.245 9.753 20
0.103 0.223 9.756 20
0.182 0.194 9.763 20
0.225 0.218 9.763 21
0.268 0.225 9.77 20
0.342 0.213 9.751 20
0.433 0.218 9.768 20
0.503 0.24 9.77 20
0.531 0.247 9.765 20
0.531 0.24 9.77 20
0.598 0.24 9.773 21
0.644 0.257 9.775 20
0.649 0.276 9.768 20
0.641 0.249 9.765 20
0.653 0.257 9.77 20
0.637 0.283 9.773 20
0.62 0.292 9.773 20
0.606 0.283 9.777 21
0.543 0.288 9.758 20
0.507 0.29 9.773 20
0.45 0.288 9.753 20
0.383 0.28 9.749 20
0.282 0.28 9.746 20
0.191 0.285 9.749 20
0.096 0.271 9.761 21
0.005 0.261 9.761 20
-0.085 0.264 9.737 20
-0.155 0.268 9.725 20
-0.217 0.254 9.77 20
-0.337 0.288 9.749 20
-0.43 0.261 9.753 20
-0.502 0.209 9.763 21
-0.509 0.209 9.761 20
-0.528 0.204 9.749 20
-0.6 0.192 9.753 20
-0.65 0.199 9.775 20
-0.641 0.213 9.782 20
-0.617 0.182 9.765 20
-0.6 0.197 9.751 21
-0.634 0.249 9.782 20
-0.626 0.254 9.761 20
-0.523 0.218 9.758 20
-0.432 0.242 9.753 20
-0.375 0.271 9.751 20
-0.325 0.249 9.763 20
-0.272 0.23 9.756 21
-0.174 0.24 9.753 20
-0.054 0.24 9.753 20
0.026 0.283 9.768 20
0.072 0.288 9.749 20
0.189 0.28 9.763 20
0.294 0.276 9.756 20
0.436 0.276 9.749 21
0.539 0.273 9.78 20
0.543 0.276 9.775 20
0.582 0.285 9.763 20
0.723 0.276 9.777 20
0.802 0.254 9.78 20
0.766 0.252 9.775 20
0.716 0.283 9.768 21
0.744 0.271 9.77 20
0.814 0.254 9.777 20
0.819 0.254 9.787 20
0.723 0.252 9.768 20
0.63 0.249 9.782 20
0.603 0.271 9.768 20
0.601 0.261 9.787 21
0.546 0.237 9.763 20
0.424 0.264 9.756 20
0.34 0.273 9.756 20
0.256 0.249 9.765 20
0.194 0.24 9.765 20
0.136 0.29 9.744 20
0.06 0.254 9.761 21
-0.069 0.218 9.749 20
-0.16 0.249 9.751 20
-0.188 0.285 9.768 20
-0.248 0.245 9.763 20
-0.279 0.249 9.758 20
-0.31 0.254 9.761 20
-0.363 0.245 9.763 21
-0.389 0.233 9.753 20
-0.385 0.24 9.773 20
-0.385 0.257 9.768 20
-0.404 0.228 9.773 20
-0.404 0.245 9.758 20
-0.365 0.237 9.749 20
-0.33 0.242 9.746 21
-0.291 0.233 9.751 20
-0.267 0.237 9.758 20
-0.253 0.247 9.773 20
-0.215 0.242 9.763 20
-0.155 0.247 9.765 20
-0.093 0.285 9.756 20
-0.114 0.295 9.753 21
-0.107 0.276 9.777 20
-0.006 0.264 9.749 20
0.057 0.278 9.768 20
0.076 0.261 9.749 20
0.086 0.245 9.751 20
0.143 0.268 9.765 20
0.227 0.259 9.77 21
0.258 0.249 9.763 20
0.208 0.276 9.78 20
0.223 0.261 9.763 20
0.27 0.24 9.765 20
0.321 0.288 9.761 20
0.299 0.273 9.765 20
0.28 0.252 9.78 21
0.285 0.266 9.761 20
0.316 0.264 9.756 20
0.318 0.257 9.768 20
0.268 0.259 9.763 20
0.254 0.278 9.77 20
0.242 0.225 9.77 20
