# Accelerometer Data File
# Started @Tue Aug 01 23:45:42 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.421 0.101 9.813 20
-1.551 0.13 9.804 20
-1.598 0.173 9.797 20
-1.555 0.194 9.797 21
-1.584 0.211 9.804 20
-1.666 0.158 9.792 20
-1.668 0.178 9.801 20
-1.505 0.264 9.782 20
-1.259 0.259 9.761 20
-1.11 0.242 9.715 20
-1.038 0.297 9.71 21
-0.861 0.314 9.73 20
-0.588 0.333 9.698 20
-0.291 0.374 9.667 20
-0.066 0.395 9.689 20
0.105 0.398 9.686 20
0.349 0.415 9.703 20
0.682 0.436 9.696 21
0.919 0.424 9.698 20
1.154 0.395 9.746 20
1.35 0.328 9.761 20
1.468 0.245 9.792 20
1.637 0.268 9.775 20
1.839 0.213 9.837 20
1.982 0.189 9.825 21
1.994 0.161 9.852 20
2.004 0.091 9.868 20
2.033 0.067 9.859 20
2.085 0.079 9.871 20
2.088 0.077 9.854 20
2.018 0.034 9.847 20
1.846 0.031 9.835 21
1.673 0.067 9.801 20
1.525 0.108 9.773 20
1.307 0.13 9.758 20
1.075 0.175 9.744 20
0.826 0.223 9.725 20
0.536 0.261 9.715 20
0.249 0.316 9.701 21
-0.009 0.324 9.698 20
-0.258 0.319 9.691 20
-0.504 0.355 9.677 20
-0.624 0.352 9.72 20
-0.725 0.424 9.708 20
-0.804 0.415 9.737 20
-0.93 0.422 9.727 21
-1.072 0.333 9.763 20
-1.256 0.252 9.773 20
-1.345 0.216 9.789 20
-1.302 0.257 9.77 20
-1.256 0.292 9.78 20
-1.311 0.235 9.773 20
-1.373 0.156 9.794 21
-1.395 0.199 9.792 20
-1.381 0.283 9.787 20
-1.218 0.288 9.775 20
-1.079 0.257 9.765 20
-1.002 0.235 9.763 20
-0.875 0.204 9.775 20
-0.717 0.199 9.758 21
-0.591 0.242 9.742 20
-0.411 0.242 9.72 20
-0.27 0.223 9.732 20
-0.172 0.23 9.725 20
-0.04 0.278 9.732 20
0.177 0.247 9.739 20
0.347 0.257 9.727 21
0.443 0.295 9.725 20
0.558 0.261 9.739 20
0.646 0.307 9.746 20
0.754 0.324 9.744 20
0.864 0.278 9.763 20
0.924 0.309 9.77 20
0.95 0.304 9.773 21
0.974 0.271 9.828 20
0.931 0.24 9.797 20
0.922 0.266 9.777 20
0.943 0.288 9.809 20
0.922 0.242 9.811 20
0.828 0.221 9.799 20
