# Accelerometer Data File
# Started @Tue Aug 01 23:12:13 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
2.315 0.144 9.859 20
2.296 0.151 9.876 20
2.143 0.173 9.847 21
1.865 0.194 9.813 20
1.736 0.163 9.792 20
1.731 0.146 9.797 20
1.544 0.204 9.763 20
1.24 0.206 9.734 20
1.015 0.189 9.701 20
0.771 0.252 9.703 21
0.541 0.259 9.684 20
0.234 0.247 9.658 20
-0.066 0.28 9.677 20
-0.339 0.328 9.701 20
-0.538 0.283 9.694 20
-0.567 0.278 9.67 20
-0.6 0.391 9.727 21
-0.72 0.403 9.72 20
-0.916 0.28 9.734 20
-1.213 0.185 9.765 20
-1.376 0.197 9.792 20
-1.395 0.223 9.78 20
-1.46 0.24 9.768 20
-1.677 0.261 9.813 21
-1.804 0.216 9.856 20
-1.709 0.12 9.837 20
-1.565 0.149 9.809 20
-1.539 0.285 9.787 20
-1.618 0.338 9.801 20
-1.654 0.254 9.828 20
-1.507 0.185 9.816 21
-1.232 0.225 9.775 20
-0.981 0.261 9.763 20
-0.897 0.252 9.732 20
-0.837 0.237 9.713 20
-0.624 0.283 9.725 20
-0.361 0.28 9.715 20
-0.148 0.242 9.662 21
-0.033 0.316 9.694 20
0.076 0.374 9.71 20
0.371 0.264 9.708 20
0.716 0.228 9.698 20
0.874 0.309 9.72 20
0.934 0.316 9.722 20
1.092 0.209 9.737 21
1.254 0.261 9.77 20
1.386 0.285 9.816 20
1.465 0.185 9.77 20
1.499 0.268 9.835 20
1.453 0.257 9.794 20
1.501 0.161 9.777 20
1.762 0.218 9.811 21
1.877 0.192 9.849 20
1.688 0.099 9.792 20
1.503 0.194 9.821 20
1.544 0.218 9.811 20
1.558 0.166 9.789 20
1.274 0.192 9.797 20
1.02 0.247 9.761 21
0.886 0.204 9.749 20
0.761 0.23 9.737 20
0.627 0.24 9.713 20
0.426 0.211 9.708 20
0.146 0.23 9.739 20
-0.076 0.261 9.718 20
-0.184 0.276 9.715 21
-0.289 0.273 9.71 20
-0.404 0.261 9.713 20
-0.497 0.261 9.737 20
-0.617 0.319 9.742 20
-0.741 0.271 9.751 20
-0.801 0.252 9.756 20
-0.93 0.307 9.761 21
-1.127 0.257 9.785 20
-1.244 0.276 9.78 20
-1.306 0.316 9.806 20
-1.191 0.242 9.787 20
-1.084 0.218 9.775 20
-1.165 0.245 9.809 20
-1.261 0.233 9.806 21
-1.177 0.233 9.792 20
-1.033 0.276 9.768 20
-0.919 0.264 9.768 20
-0.856 0.201 9.763 20
-0.801 0.206 9.73 20
-0.629 0.249 9.777 20
-0.43 0.245 9.744 21
-0.277 0.201 9.71 20
-0.186 0.209 9.722 20
-0.102 0.211 9.734 20
0.057 0.257 9.734 20
0.266 0.249 9.732 20
0.483 0.23 9.739 20
0.603 0.254 9.727 21
0.663 0.242 9.77 20
0.79 0.247 9.727 20
1.003 0.228 9.746 20
1.142 0.209 9.758 20
1.101 0.276 9.787 20
1.06 0.297 9.801 20
1.142 0.254 9.823 21
1.228 0.235 9.77 20
1.3 0.292 9.785 20
1.302 0.252 9.806 20
1.23 0.211 9.799 20
1.192 0.249 9.777 20
1.207 0.264 9.794 20
1.168 0.218 9.789 21
1.013 0.237 9.763 20
0.855 0.266 9.763 20
0.732 0.254 9.756 20
0.603 0.225 9.763 20
0.481 0.225 9.746 20
0.335 0.276 9.742 20
0.143 0.254 9.739 21
0.009 0.221 9.744 20
-0.071 0.189 9.73 20
-0.203 0.252 9.734 20
-0.358 0.242 9.773 20
-0.464 0.218 9.744 20
-0.449 0.23 9.761 20
-0.478 0.18 9.753 21
-0.634 0.192 9.746 20
-0.753 0.276 9.77 20
-0.851 0.3 9.797 20
-0.902 0.245 9.763 20
-0.842 0.237 9.777 20
-0.868 0.254 9.782 20
-0.883 0.247 9.775 21
-0.82 0.247 9.768 20
-0.784 0.276 9.799 20
-0.887 0.326 9.813 20
-0.866 0.319 9.787 20
-0.655 0.268 9.749 20
-0.514 0.3 9.742 20
-0.507 0.302 9.756 21
-0.49 0.252 9.758 20
-0.32 0.225 9.765 20
-0.179 0.245 9.725 20
-0.069 0.221 9.737 20
0.021 0.237 9.727 20
0.093 0.278 9.758 20
0.201 0.223 9.777 21
0.366 0.197 9.749 20
0.479 0.259 9.77 20
0.574 0.223 9.775 20
0.653 0.218 9.758 20
0.744 0.288 9.761 20
0.797 0.28 9.768 20
0.795 0.288 9.773 21
0.871 0.331 9.749 20
0.946 0.297 9.768 20
0.984 0.312 9.763 20
0.993 0.29 9.787 20
0.914 0.146 9.782 20
0.905 0.24 9.768 20
0.919 0.302 9.84 21
0.895 0.065 9.761 20
0.867 0.031 9.718 20
0.905 0.158 9.809 20
0.723 0.079 9.73 20
0.445 0.101 9.727 20
0.474 0.175 9.773 20
0.51 0.099 9.756 21
0.256 0.034 9.744 20
0.031 0.18 9.753 20
-0.023 0.292 9.739 20
0.021 0.101 9.77 20
-0.018 0.027 9.732 20
-0.26 0.288 9.744 20
-0.428 0.336 9.811 21
-0.325 0.18 9.732 20
-0.241 0.235 9.751 20
-0.416 0.309 9.765 20
-0.636 0.3 9.77 20
-0.71 0.343 9.775 20
-0.588 0.357 9.746 20
-0.502 0.304 9.763 21
-0.595 0.312 9.782 20
-0.725 0.362 9.78 20
-0.662 0.333 9.799 20
-0.497 0.302 9.782 20
-0.464 0.297 9.758 20
-0.523 0.333 9.78 20
-0.547 0.3 9.746 21
-0.358 0.29 9.768 20
-0.224 0.228 9.765 20
-0.239 0.185 9.746 20
-0.282 0.29 9.753 20
-0.081 0.292 9.744 20
0.232 0.182 9.746 20
0.191 0.072 9.718 21
0.074 0.204 9.756 20
0.096 0.225 9.789 20
0.342 0.043 9.749 20
0.615 -0.003 9.732 20
0.618 0.132 9.777 20
0.498 0.122 9.775 20
0.498 0.072 9.753 21
0.639 0.144 9.758 20
0.802 0.178 9.782 20
0.752 0.087 9.773 20
0.646 0.17 9.756 20
